Armazéns Credenciados e Habilitados
CDA;Armazenador;Endereço;Municí­pio;UF;Tipo;Telefone;Email;Capacidade (t);Latitude;Longitude
48.0287.0245-4;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA RIO DA PRATA, N. 1804 S/N VILA EDUARDA - 76.100-000;São Luís de Montes Belos;GO;Bateria de Silos;(64)3671-1120;;14000;-16.507781;-50.36851
49.0287.0212-6;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;(99)3523-5993;;8500;-5.58527;-47.4378
49.0287.0213-4;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;(99)3523-5993;;8500;-5.58527;-47.4378
49.0287.0214-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;(99)3523-5993;;8500;-5.58527;-47.4378
49.0287.0215-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;(99)3523-5993;;8500;-5.58527;-47.4378
49.0287.0221-5;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Convencional;(99)3523-5993;;7000;-5.58527;-47.4378
49.0287.0224-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 135 KM 01 - PATIO DA RFFSA S/N NÃO INFORMADO - 65.051-210;São Luís;MA;Convencional;(98)3245-2064;;4500;-2.587674;-44.245507
54.0287.0021-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. NEWTON FERREIRA DE PAIVA,  Nº 38 38 N SRA. APARECIDA - 38.970-000;Campos Altos;MG;Convencional;(37) 3426-1676;mg.ua.camposaltos@conab.gov.br;10000;-19.695857;-46.174678
54.0287.0012-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA FRANCISCO PERES DE SOUZA Nº 381 381 VILA EXPOSIÇÃO - 39.400-287;Montes Claros;MG;Convencional;(38) 3215-1511;;2200;-16.706488;-43.849844
54.0287.0024-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA FRANCISCO PERES DE SOUZA Nº 381 381 VILA EXPOSIÇÃO - 39.400-287;Montes Claros;MG;Convencional;(38) 3215-1511;;3600;-16.706488;-43.849844
54.0287.0025-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA FRANCISCO PERES DE SOUZA Nº 381 381 VILA EXPOSIÇÃO - 39.400-287;Montes Claros;MG;Convencional;(38) 3215-1511;;4100;-16.706488;-43.849844
54.0287.0022-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 381 FERNAO DIAS KM 665 S/N Não Informado - 37.260-000;Perdões;MG;Convencional;;;10000;-21.092061;-45.07269
54.0287.0018-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DELMIRA ANDRADE FIGUEREDO WESTIN S/N S/N JARDIM BERNADETE - 37.950-000;São Sebastião do Paraíso;MG;Convencional;;;10300;-20.908504;-46.997702
54.0287.0006-5;COMPANHIA NACIONAL DE ABASTECIMENTO;R ARNALDO AFONSO MELO 315 DISTRITO INDUSTRIAL II - 38.064-720;Uberaba;MG;Silo;(34) 3313-6023;MG.UA-UBERABA@CONAB.GOV.BR;25800;-19.703423;-47.981866
54.0287.0001-4;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Convencional;(34)3213-2348;;6000;-18.844092;-48.293121
54.0287.0002-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Graneleiro;(34)3213-2348;;18000;-18.844092;-48.293121
54.0287.0003-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Convencional;(34)3213-2348;;12000;-18.844092;-48.293121
54.0287.0004-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Convencional;(34)3213-2348;;6000;-18.844092;-48.293121
54.0287.0005-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Silo;(34)3213-2348;;97800;-18.844092;-48.293121
54.0287.0038-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Graneleiro;(34)3213-2348;;100000;-18.844092;-48.293121
54.0287.0019-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ALAMEDA DO CAFE Nº 1000 - JARDIM ANDERE 1000 JARDIM ANDERE - 37.026-400;Varginha;MG;Convencional;(35)3214-1992;conab.varginha@oi.com.br;24600;-21.576321;-45.431222
55.0287.0010-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Convencional;(67)3391-1155;;3500;-20.494501;-54.74
55.0287.0011-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Bateria de Silos;(67)3391-1155;;16000;-20.494501;-54.74
55.0287.0040-3;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Silo;(67)3391-1155;;25800;-20.494501;-54.74
55.0287.0196-5;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Convencional;(67)3391-1155;;2600;-20.494501;-54.74
56.A385.0002-4;BOCA DA MATA ARMAZENS GERAIS;ROD MT 130 KM 225 + 40 KM S/N Não Informado - 78.875-000;Gaúcha do Norte;MT;Bateria de Silos;(66) 3573-2208;EUDIS@BOTUVERA.COM;11590;-13.57494;-53.98217
56.A385.0003-2;BOCA DA MATA ARMAZENS GERAIS;ROD MT 130 KM 225 + 40 KM S/N Não Informado - 78.875-000;Gaúcha do Norte;MT;Graneleiro;(66) 3573-2208;EUDIS@BOTUVERA.COM;28430;-13.57236;-53.98155
56.A385.0005-9;BOCA DA MATA ARMAZENS GERAIS;ROD MT 130 KM 225 + 40 KM S/N Não Informado - 78.875-000;Gaúcha do Norte;MT;Graneleiro;(66) 3573-2208;EUDIS@BOTUVERA.COM;49530;-13.57236;-53.98155
56.0287.0045-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Bateria de Silos;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;10000;-16.501768;-54.631977
56.0287.0067-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2400;-16.501768;-54.631977
56.0287.0068-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2400;-16.501768;-54.631977
56.0287.0069-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2400;-16.501768;-54.631977
56.0287.0080-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977
56.0287.0082-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977
56.0287.0083-5;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977
56.0287.0094-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977
56.0287.0096-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977
56.0287.0204-8;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;3600;-16.501768;-54.631977
56.0287.0214-5;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;(66)3421-7017;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2300;-16.501768;-54.631977
56.0287.0024-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;(66)3544-1247;CONAB@VSP.GOV.BR;4900;-12.553104;-55.712987
56.0287.0062-2;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;(66)3544-1247;CONAB@VSP.GOV.BR;4900;-12.553104;-55.712987
56.0287.0099-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;(66)3544-1247;CONAB@VSP.GOV.BR;13800;-12.553104;-55.712987
56.0287.0100-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;(66)3544-1247;CONAB@VSP.GOV.BR;13800;-12.553104;-55.712987
56.0287.0203-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;(66)3544-1247;CONAB@VSP.GOV.BR;8500;-12.553104;-55.712987
57.0287.0044-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO MOCAJATUBA - KM 05 - UA ANANINDEUA S/Nº DISTRITO INDUSTRIAL - 67.030-180;Ananindeua;PA;Convencional;(91)3250-3008;rogerio.neves@conab.gov.br;2800;-1.332048;-48.35642
57.0287.0063-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO MOCAJATUBA - KM 05 - UA ANANINDEUA S/Nº DISTRITO INDUSTRIAL - 67.030-180;Ananindeua;PA;Convencional;(91)3250-3008;rogerio.neves@conab.gov.br;8900;-1.332048;-48.35646
57.0287.0070-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO MOCAJATUBA - KM 05 - UA ANANINDEUA S/Nº DISTRITO INDUSTRIAL - 67.030-180;Ananindeua;PA;Convencional;(91)3250-3008;rogerio.neves@conab.gov.br;8900;-1.3320400000000001;-48.35642
58.0287.0005-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. ASSIS CHATEAUBRIAND 4885 DISTRITO INDUSTRIAL - 58.105-421;Campina Grande;PB;Convencional;(83)3331-2739;PB.UA-CAMPINAGRANDE@CONAB.GOV.BR;7000;-7.272515;-35.887636
58.0287.0050-5;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA PROJETADA Y2 225 Distrito Industrial - 58.082-025;João Pessoa;PB;Convencional;(83) 3233-1702;PB.UA-JOAOPESSOA@CONAB.GOV.BR;8900;-7.184094;-34.918548
58.0287.0021-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA MANUEL JOAQUIM DA SILVA S/N S/N centro - 58.500-000;Monteiro;PB;Convencional;(83)3351-2828;PB.GEOSE@CONAB.GOV.BR;3500;-7.896426;-37.129711
58.0287.0049-1;COMPANHIA NACIONAL DE ABASTECIMENTO;FAZENDA TRAPIA, 3312 - BR 230 - KM 342 S/N UA PATOS - 58.700-000;Patos;PB;Convencional;(83)3421-1329;pb.ua-patos@conab.gov.br;2800;-6.992245;-37.320485
59.0287.0044-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA JOSE BONIFACIO, N. 1056 S/N São Cristovão - 56.512-000;Arcoverde;PE;Convencional;(87)3821-0255;;1800;-8.414672;-37.070585
59.0287.0018-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO BARBALHO, 960 - IPUTINGA S/N CENTRO - 50.690-000;Recife;PE;Convencional;(81)3271-2622;;3600;-8.033068;-34.939058
59.0287.0041-4;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO BARBALHO, 960 - IPUTINGA S/N CENTRO - 50.690-000;Recife;PE;Convencional;(81)3271-2622;;4900;-8.033068;-34.939058
59.0287.0042-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO BARBALHO, 960 - IPUTINGA S/N CENTRO - 50.690-000;Recife;PE;Convencional;(81)3271-2622;;18100;-8.033068;-34.939058
65.0287.0054-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 343 KM 601 3600 MELADÃO - 64.808-755;Floriano;PI;Convencional;(89) 3521-1404;PI.UA-FLORIANO@CONAB.GOV.BR;4300;-6.78678;-43.04399
65.0287.0121-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 343 KM 13 S/N NOSSA SRA FATIMA - 64.202-220;Parnaíba;PI;Convencional;(86)3321-2152;;4100;-2.904117;-41.757595
65.0287.0034-6;COMPANHIA NACIONAL DE ABASTECIMENTO;AV SENADOR HELVIDIO NUNES 2810 JUNCO - 64.600-000;Picos;PI;Convencional;(89) 3422-4340;;3200;-7.079008;-41.437125
65.0287.0042-7;COMPANHIA NACIONAL DE ABASTECIMENTO;PRIMEIRO DISTRITO INDUSTRIAL S/N PARQUE PIAUÍ - 64.076-160;Teresina;PI;Convencional;(86) 3194-5480;;4100;-5.14376;-42.79656
65.0287.0110-5;COMPANHIA NACIONAL DE ABASTECIMENTO;PRIMEIRO DISTRITO INDUSTRIAL S/N PARQUE PIAUÍ - 64.076-160;Teresina;PI;Convencional;(86) 3194-5480;;4200;-5.08998;-42.8003
66.0287.0061-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA BELO HORIZONTE  2726 CENTRO - 86.181-020;Cambé;PR;Silo;(43)3254-3200;;25800;-23.27562;-51.295575
66.0287.0030-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;50000;-25.22017;-50.06403
66.0287.0052-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;75000;-25.22139;-50.06391
66.0287.0056-5;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;50000;-25.22011;-50.0624
66.0287.0059-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;75000;-25.22082;-50.06203
