Base Personalizada
CDA;Armazenador;Endereço;Município;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de Recepção
56.9518.0042-1      ;AGRICOLA ALVORADA S.A.;ROD MT 437, KM 117,5  ZONA RURAL - 78663000;SÃO JOSÉ DO XINGU;MT        ;GRANELEIRO                                        ;ademirmucke@agricolaalvorada.com.br;1495;-10.622;-52.4929;0;1495
56.9518.0040-5      ;AGRICOLA ALVORADA S.A.;AV INDUSTRIAL II LOTE RURAL 02 ZONA RURAL - 78645000;VILA RICA;MT        ;GRANELEIRO                                        ;fiscalagricola@agricolaalvorada.com.br;1468;-10.0366;-51.058;0;1468
48.G490.0001-0      ;LUCRI+ ARMAZÉM GERAL LTDA;AVENIDA AMAZONAS  ROTATÓRIA DA GO 320 SETOR DERGO - 75600000;GOIATUBA;GO        ;GRANELEIRO                                        ;lucriarmazensgerais@gmail.com;1437;-18.00108;-49.35839;0;1437
48.3566.0027-5      ;LOUIS DREYFUS COMPANY BRASIL S.A.;RODOVIA BR 060 KM 507  PARQUE INDUSTRIAL - 75801701;JATAÍ;GO        ;GRANELEIRO                                        ;;1418;-17.90861;-51.68236;0;1418
56.D858.0003-4      ;MARVALDI GORGEN;ESTRADA SAIDA PARA FAZENDA RONCADOR FAZENDA IRMÃOS GURGEN ZONA RURAL - 78643000;QUERÊNCIA;MT        ;BATERIA DE SILOS                                  ;fran.gorgen@gmail.com;1324;-12.50533;-52.33191;0;1324
56.F866.0002-4      ;CELSO CARLOS ROQUETTO;FAZENDA EXTRA - ESTRADA QUERÊNCIA/MATA LINDA KM 50  ZONA RURAL - 78643000;QUERÊNCIA;MT        ;GRANELEIRO                                        ;gerencia.adm@cr.agr.br;1299;-12.53215;-52.53695;0;1299
56.8643.0049-8      ;SIPAL INDUSTRIA E COMERCIO LTDA;AV. IDEMAR RIEDI SETOR INDUSTRIAL INDUSTRIAL - 78890000;SORRISO;MT        ;GRANELEIRO                                        ;leandro.zanette@sipal.com.br;1227;-12.556616;-55.715366;0;1227
56.F946.0001-1      ;USIMAT DESTILARIA DE ALCOOL LTDA;DISTRITO ALTO JURUENA ROD MT 388 ZONA RURAL - 78319000;CAMPOS DE JÚLIO;MT        ;GRANELEIRO                                        ;samy.lim@usimat.com.br;1208;-14.2667;-59.2371;0;1208
48.0491.0050-0      ;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;ROD BR-060, KM 389 COMIGO INDUSTRIAL CENTRO SETOR INDUSTRIAL - 75905904;RIO VERDE;GO        ;GRANELEIRO                                        ;joaocasemiro@comigo.com.br;1204;-17.819028;-50.958611;0;1204
56.0461.0001-1      ;COCAMAR COOPERATIVA AGROINDUSTRIAL;RODOVIA MT 240 KM 32  ZONA RURAL - 78635000;ÁGUA BOA;MT        ;GRANELEIRO                                        ;vera@analysispr.com.br;1204;-14.054;-52.3863;0;1204
55.0430.0004-2      ;COAMO AGROINDUSTRIAL COOPERATIVA;ROD. MS 379, S/Nº, KM 02 SAIDA LAGUNA CARAPÃ PARA DOURADOS  - 79920000;LAGUNA CARAPÃ;MS        ;BATERIA DE SILOS                                  ;coamo@coamo.com.br;1203;-22.541554;-55.141976;0;1203
56.9125.0010-2      ;CARAMURU ALIMENTOS S/A;RUA AYRTON SENNA, Nº 628 DISTRITO INDUSTRIAL NOVA PRATA - 78890000;SORRISO;MT        ;GRANELEIRO                                        ;anderson.lopes@caramuru.com;1202;-12.5736;-55.7195;0;1202
56.D733.0007-4      ;ABJ COMÉRCIO AGRICOLA LTDA;ROD BR 364 KM 310  ZONA RURAL - 78820000;JACIARA;MT        ;GRANELEIRO                                        ; abjvertente@bomjesus.com;1200;-15.90384;-55.32554;0;1200
55.A456.0002-2      ;CAMPANÁRIO ARMAZÉNS GERAIS LTDA.;ROD. CAARAPÓ-AMAMBAI, KM 32  FAZ. CAMPANÁRIO  - 79920000;LAGUNA CARAPÃ;MS        ;BATERIA DE SILOS                                  ;balanca@fazendacampanario.com.br;1197;-22.79719;-55.04866;0;1197
56.G029.0003-1      ;ESPACOGRAOS SERVIÇOS E ARMAZENAMENTO S/A;ROD MT 430 KM 12 SALA 1 B ZONA RURAL - 78652000;CONFRESA;MT        ;BATERIA DE SILOS                                  ;alexandre.mundim@grupospasso.com.br;1190;-10.5969;-51.6961;0;1190
55.0430.0043-3      ;COAMO AGROINDUSTRIAL COOPERATIVA;RODOVIA BR-163, KM 247  PARQUE DAS NAÇÕES - 79804970;DOURADOS;MS        ;BATERIA DE SILOS                                  ;registrosregulatorios@coamo.com.br;1184;-22.3352;-54.81926;0;1184
56.9518.0035-9      ;AGRICOLA ALVORADA S.A.;ROD MT 430 KM 12 A 8 KM DA CIDADE CONFREZA ZONA RURAL - 78652000;CONFRESA;MT        ;GRANELEIRO                                        ;orcino.gamarra@agricolaalvorada.com.br;1168;-10.6494;-51.6708;0;1168
56.9518.0043-0      ;AGRICOLA ALVORADA S.A.;BR 364 KM 64 ALTO GARÇAS A RONDONÓPOLIS  ZONA RURAL - 78770000;ALTO GARÇAS;MT        ;GRANELEIRO                                        ;antonio.mattos@agricolaalvorada.com.br;1165;-16.9408;-53.5764;0;1165
56.G453.0001-0      ;AMERICA RURAL ARMAZENS GERAIS LTDA;EST R-4 LOTE RURAL 180-B  ZONA RURAL - 78643000;QUERÊNCIA;MT        ;GRANELEIRO                                        ;;1159;-12.6111;-52.1504;0;1159
48.0491.0061-5      ;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;ROD BR-060, KM 389 COMIGO INDUSTRIAL CENTRO SETOR INDUSTRIAL - 75905904;RIO VERDE;GO        ;GRANELEIRO                                        ;joaocasemiro@comigo.com.br;1157;-17.823459;-50.962704;0;1157
56.E169.0008-6      ;BOM FUTURO AGRÍCOLA LTDA;RODOVIA BR 364 KM 1118 ARMAZÉM ÁGUA CLARA - 78365000;SAPEZAL;MT        ;GRANELEIRO                                        ;adilson.souza@bomfuturo.com.br;1152;-13.534294;-58.797676;0;1152
56.5104.0090-1      ;BUNGE ALIMENTOS S/A;RODOVIA BR 163 LOTE 1A PROJETO DE COLONIZAÇÃO MUTUM 1 ETAPA - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;leandro.ronczcovski@bunge.com;1150;-13.73663;-56.05212;0;1150
56.B304.0002-2      ;BRF S.A.;AVENIDA DAS INDUSTRIAS ALA 2 DISGTRITO INDUSTRIAL SENADOR ATTILIO FONTANA - 78455000;LUCAS DO RIO VERDE;MT        ;BATERIA DE SILOS                                  ;gilberto.santos@brf_br.com;1121;-13.00803;-55.93915;0;1121
48.9125.0004-7      ;CARAMURU ALIMENTOS S/A;AVE CRISTIANO JOSE DE SOUZA QD 01 BLOCO B S/N SETOR JOSE MACHADO SETOR JOSE MACHADO  - 75780000;IPAMERI;GO        ;GRANELEIRO                                        ;ipameri@caramuru.com;1119;-17.7457;-48.175;0;1119
48.0491.0066-6      ;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;RODOVIA GO 174   ZONA RURAL - 76208899;IPORÁ;GO        ;GRANELEIRO                                        ;edimarcardoso@comigo.com.br;1104;-16.47267;-51.1292;0;1104
56.0000.1659-0      ;ELOI VITORIO MARCHETT;RODOVIA BR 163  KM 585 A DIREITA MAIS 59 KM - FAZENDA LEYTON ZONA RURAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;jorge@sementescarolina.com.br;1100;-13.9613;-55.6578;0;1100
56.F960.0001-1      ;COOPERATIVA AGRICOLA DE PRODUTORES DE CANA DE CAMPO NOVO DO PARECIS LTDA-COPRODIA;RODOA BR 361 KM864 ZONA RURAL ZONA RURAL - 78360000;CAMPO NOVO DO PARECIS;MT        ;GRANELEIRO                                        ;diretoria@cooprodia.com.br;1086;-13.7864;-57.8441;0;1086
56.G029.0005-8      ;ESPACOGRAOS SERVIÇOS E ARMAZENAMENTO S/A;A ANEL VIARIO CONRADO SALES BRITO SALA 1B ZONA RURAL - 78750899;RONDONÓPOLIS;MT        ;GRANELEIRO                                        ;adriano.inacio@espacograos.com.br;1063;-16.4129;-54.6869;0;1063
56.E169.0012-4      ;BOM FUTURO AGRICOLA LTDA;RODOVIA BR 364 KM 285 + 33 KM A ESQUERDA FAZENDA COLORADO  ARMAZEM FICA 33 KM DA BR ZONA RURAL - 78400000;DIAMANTINO;MT        ;GRANELEIRO                                        ;adilson.souza@bomfuturo.com.br;1059;-13.9519;-57.10526;0;1059
56.3407.0009-8      ;CAROLINA ARMAZENS GERAIS LTDA;ROD MT 130 KM 74 - VILA CAROLINA VILA CAROLINA ZONA RURAL - 78850000;PRIMAVERA DO LESTE;MT        ;GRANELEIRO                                        ;schiavo@sementescarolina.com.br;1056;-14.966954;-54.058899;0;1056
56.8643.0032-3      ;SIPAL INDUSTRIA E COMERCIO LTDA;AVENIDA IDEMAR RIEDI SALA B INDUSTRIAL 1 ETAPA - 78890000;SORRISO;MT        ;CHAPÉU CHINES                                     ;;1051;-12.5397395;-55.7066591;0;1051
56.E169.0055-8      ;BOM FUTURO AGRÍCOLA LTDA;MT 322, KM 01- ENTROCAMENTO COM A BR 163 AO LADO DO POSTO TREVÃO ZONA RURAL - 78525000;MATUPÁ;MT        ;GRANELEIRO                                        ;fiscal@bomfuturo.com.br;1038;-10.1905;-54.94323;0;1038
56.9518.0044-8      ;AGRICOLA ALVORADA S.A.;ROD. MT 240 KM 08  ZONA RURAL - 78635000;ÁGUA BOA;MT        ;GRANELEIRO                                        ;adminfilial1018@agricolaalvorada.com.br;1030;-14.02481;-52.23599;0;1030
56.1861.0067-7      ;AMAGGI EXPORTACAO E IMPORTACAO LTDA;ROD MT 449  SAIDA PARA TAPURAH DISTRITO INDUSTRIAL SENADOR ATILO FONTANA - 78455000;LUCAS DO RIO VERDE;MT        ;GRANELEIRO                                        ;luana.souza@amaggi.com.br;1025;-13.00508;-55.94487;0;1025
56.E674.0003-0      ;OURO VERDE PRODUÇAO AGRICOLA LTDA;AVENIDA SÃO PAULO ANTIGA VIANA ARMAZENS GERAIS ZONA URBANA - 78850000;PRIMAVERA DO LESTE;MT        ;GRANELEIRO                                        ;contabil@ouroverdeproducao.com.br;1024;-15.57205;-54.33075;0;1024
56.F640.0001-6      ;COOPERGRAOS COOPERATIVA DE ARMAZENAGEM DE GRAOS DE CAMPO VERDE;BR 070 KM 369 MAIS 300 METROS  AO LADO DA COOPERBEM ZONA RURAL - 78846899;CAMPO VERDE;MT        ;BATERIA DE SILOS                                  ;danilo.martins@coopergraos.com.br;1013;-15.49492;-55.09417;0;1013
56.8643.0024-2      ;SIPAL INDUSTRIA E COMERCIO LTDA;RUA DOS NARCISOS  BANDEIRANTES - 78460562;LUCAS DO RIO VERDE;MT        ;BATERIA DE SILOS                                  ;mauri.hahm@sipal.com.br;1011;-13.05435;-55.92984;0;1011
55.E246.0001-2      ;COAMO AGROINDUSTRIAL COOPERATIVA;ROD BR 267, KM 397  ZONA RURAL - 79150000;MARACAJU;MS        ;BATERIA DE SILOS                                  ;registrosregulatorios@coamo.com.br;1005;-21.618273;-55.448494;0;1005
56.8643.0060-9      ;SIPAL INDUSTRIA E COMERCIO LTDA;RODOVIA BR 163 KM 1051 A DIREITA ZONA RURAL - 78525000;MATUPÁ;MT        ;GRANELEIRO                                        ;charles.girola@sipal.com.br;1000;-10.0804;-54.9089;0;1000
